Id,Start,Name,Impact,Currency
f3b42e90-2535-4b5e-8d22-51099a625369,01/10/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
4b0809e9-a408-43f7-9e2a-6b7d4544b11a,01/10/2019 15:30:00,EIA Natural Gas Storage Change,LOW,USD
60d5bcb1-27cc-48d8-9743-ee050c0bf92e,01/10/2019 16:30:00,4-Week Bill Auction,LOW,USD
0dd45aa5-d378-4108-aa4a-310ab6b9c3c7,01/10/2019 17:40:00,Fed's Bullard speech,MEDIUM,USD
ac8f1d24-f2b6-4a74-a572-f2ab7455ee8e,01/10/2019 17:45:00,Fed's Chair Powell speech,HIGH,USD
62a0647b-d972-49c0-9e70-5b0bf3bd8065,01/10/2019 18:00:00,Fed's Evans speech,LOW,USD
c7dbe425-c1ba-44d8-bea6-e995ebaf535d,01/10/2019 18:00:00,30-Year Bond Auction,LOW,USD
d3d50621-580e-4d11-bb75-f1baa3ade0a1,01/11/2019 00:00:00,Fed's Clarida speech,MEDIUM,USD
683b979a-95b1-4ee6-8e68-b93443c99a28,01/11/2019 11:00:00,IPCA Inflation,LOW,BRL
8c4b1eaa-1617-4cad-85e6-468b3333f007,01/11/2019 13:30:00,Consumer Price Index Core s.a,MEDIUM,USD
b894792a-cd60-4ff3-999c-2040b14dd953,01/11/2019 13:30:00,Consumer Price Index (MoM),MEDIUM,USD
a0c1c5be-4ab9-42ff-9248-af2cd207f8fd,01/11/2019 13:30:00,Consumer Price Index n.s.a (MoM),LOW,USD
b8c8ede6-6aba-4060-be74-a16a577e58b4,01/11/2019 13:30:00,Consumer Price Index ex Food & Energy (MoM),MEDIUM,USD
887e8e2b-63d9-4687-bff6-8f2267d01e47,01/11/2019 13:30:00,Consumer Price Index (YoY),MEDIUM,USD
8094e153-4923-4d92-88ee-aa117b2027d6,01/11/2019 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
7166d79f-67d0-40b7-bae1-591b452c275a,01/11/2019 18:00:00,Baker Hughes US Oil Rig Count,MEDIUM,USD
49af2238-da41-4f56-b96e-3aefd500b8fa,01/14/2019 02:00:02,FDI - Foreign Direct Investment (YTD) (YoY),MEDIUM,CNY
141d4a37-5362-4022-907a-8ceba66d47de,01/14/2019 03:07:00,Trade Balance CNY,MEDIUM,CNY
e52fdc5c-898b-4600-ab4a-44fc5dc841f5,01/14/2019 03:07:30,Trade Balance USD,MEDIUM,CNY
1164c3b8-0937-4c8f-80ed-fee21cc7a1d9,01/14/2019 03:07:48,Exports (YoY),MEDIUM,CNY
439ba50c-9e54-4220-bb58-d350e3a739a3,01/14/2019 03:07:59,Imports (YoY),MEDIUM,CNY
e6910997-df4e-44f9-b998-4fda6badb724,01/14/2019 03:08:47,Exports (YoY) CNY,MEDIUM,CNY
d5d82e92-0b73-4b04-9554-8746f1b9db89,01/14/2019 03:09:02,Imports (YoY) CNY,MEDIUM,CNY
fe7c2cdd-2a2d-4425-b178-a7ec5e1c3d5c,01/14/2019 16:30:00,3-Month Bill Auction,LOW,USD
8a8e02ba-da8c-496b-be07-172b82e8055e,01/14/2019 16:30:00,6-Month Bill Auction,LOW,USD
ec0784d5-3852-4b2d-8d95-fdd73f15e8e8,01/15/2019 08:00:00,New Loans,LOW,CNY
7003e1d9-019e-4036-81a8-c7518438fd24,01/15/2019 08:00:00,M2 Money Supply (YoY),LOW,CNY
c86438ca-cf98-4ea0-b3cf-10f18f4fde35,01/15/2019 11:00:00,Retail Sales (MoM),LOW,BRL
555fcac2-5ebe-48e1-94e9-7379ad549f31,01/15/2019 13:30:00,NY Empire State Manufacturing Index,LOW,USD
fcbc9d77-d57e-4832-a6dd-fe1dcccb2981,01/15/2019 13:30:00,Producer Price Index (YoY),LOW,USD
